[2018-09-03 15:08:07] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 509) Error caching script elements/modplugin/3
[2018-09-03 16:20:21] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/core/default
[2018-09-03 16:20:21] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/core/default
[2018-09-03 16:20:21] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/ru/core/default
[2018-09-03 16:20:21] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/ru/core/default
[2018-09-03 16:20:21] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/ru/core/default
[2018-09-03 16:21:01] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/clientconfig/default
[2018-09-03 16:21:01] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/core/default
[2018-09-03 16:21:08] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/clientconfig/default
[2018-09-03 16:21:08] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/en/core/default
[2018-09-03 16:21:08] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 344) Error caching lexicon topic lexicon/ru/core/default
[2018-09-03 16:21:08] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 394) Error caching action map mgr/actions
[2018-09-03 16:21:09] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 394) Error caching action map mgr/actions
[2018-09-03 16:21:08] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 394) Error caching action map mgr/actions
[2018-09-03 22:53:49] (ERROR @ D:\Program\OpenServer\domains\modx\core\model\modx\modcachemanager.class.php : 317) Could not cache resource 49
